TimeGenerated,URLS,HashType
5/22/2021 14:55,coronavirus[.]arma[.]gdn,Malware
5/23/2021 14:55,hxxps://www[.]covid19[.]arma[.]gdn/,Malware
5/24/2021 14:55,permisos-covid19[.]generaldeheza[.]gob[.]ar,Malware
5/25/2021 14:55,hxxps://permisos-covid19[.]generaldeheza[.]gob[.]ar/,Malware
5/26/2021 14:55,www[.]coronavirus[.]coreapps[.]info,Malware
5/27/2021 14:55,hxxps://www[.]coronavirus[.]coreapps[.]info/,Malware
5/28/2021 14:55,hxxps://coronavirustips[.]shop/,Malware
5/29/2021 14:55,hxxps://www[.]coronavirustips[.]shop/,Malware
5/30/2021 14:55,coronavirusmedication[.]net,Malware
5/31/2021 14:55,hxxps://coronavirusmedication[.]net/,Malware
6/1/2021 14:55,covid19medication[.]net,Malware
6/2/2021 14:55,hxxps://covid19medication[.]net/,Malware
6/3/2021 14:55,hxxps://3dcovid19[.]shop/,Malware
6/4/2021 14:55,www[.]coronaviruset[.]tk,Malware
6/5/2021 14:55,hxxps://www[.]coronaviruset[.]tk/,Malware
6/6/2021 14:55,www[.]covid19[.]bhb[.]sch[.]id,Malware
6/7/2021 14:55,hxxps://www[.]covid19[.]bhb[.]sch[.]id/,Malware
6/8/2021 14:55,hxxps://3dcovid19[.]fr/,Malware
6/9/2021 14:55,covid19[.]si,Malware
6/10/2021 14:55,hxxps://covid19[.]si/,Malware
6/11/2021 14:55,covid19doomsday[.]bottlend[.]com,Malware
6/12/2021 14:55,hxxps://covid19doomsday[.]bottlend[.]com/,Malware
6/13/2021 14:55,www[.]coronavirus-home-testing-kit[.]com,Malware
6/14/2021 14:55,hxxps://www[.]coronavirus-home-testing-kit[.]com/,Malware
6/15/2021 14:55,hxxps://iodanticovid19[.]ru/,Malware
6/16/2021 14:55,coronavirus-cares[.]com,Malware
6/17/2021 14:55,hxxps://coronavirus-cares[.]com/,Malware
6/18/2021 14:55,coronavirus-detail[.]ru,Malware
6/19/2021 14:55,hxxps://www[.]coronavirus-detail[.]ru/,Malware
6/20/2021 14:55,coronavirusn[.]ru,Malware
6/21/2021 14:55,hxxps://www[.]coronavirusn[.]ru/,Malware
6/22/2021 14:55,coronavirus-msk[.]ru,Malware
6/23/2021 14:55,hxxps://www[.]coronavirus-msk[.]ru/,Malware
